name,ID,STIX ID,description,collection layers,platforms,created,modified,type,version,url,contributors
Active Directory,DS0026,x-mitre-data-source--d6188aac-17db-4861-845f-57c369f9b4c8,"A database and set of services that allows administrators to manage permissions, access to network resources, and stored data objects (user, group, application, or devices)(Citation: Microsoft AD DS Getting Started)","Cloud Control Plane, Host","Identity Provider, Windows",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0026,Center for Threat-Informed Defense (CTID)
Active Directory: Active Directory Credential Request,,x-mitre-data-component--02d090b6-8157-48da-98a2-517f7edd49fc,"Requests for authentication credentials via Kerberos or other methods like NTLM and LDAP queries. Examples:

- Kerberos TGT and Service Tickets (Event IDs 4768, 4769)
- NTLM Authentication Events
- LDAP Bind Requests

*Data Collection Measures:*

- Security Event Logging:
    - Enable ""`Audit Kerberos Authentication Service`"" or ""`Audit Kerberos Service Ticket Operations`.""
    - Captured Events: IDs 4768, 4769, 4624.
- Windows Event Forwarding (WEF): Forward domain controller logs to SIEM.
- SIEM Integration: Use tools like Splunk or Azure Sentinel for log analysis.
- Kerberos Debug Logging:
    - Registry Key: HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Kerberos\Parameters.
    - Set DWORD LogLevel to 1.
- Azure AD Logs: Monitor Sign-In Logs for authentication and policy issues.
- Enable EDR Monitoring:
    - Use EDR to detect suspicious processes querying authentication mechanisms (e.g., lsass.exe memory access).",,,20 October 2021,,datacomponent,1.1,,
Active Directory: Active Directory Object Access,,x-mitre-data-component--5c6de881-bc70-4070-855a-7a9631a407f7,"Object access refers to activities where AD objects (e.g., user accounts, groups, policies) are accessed or queried. Example: Windows Event ID 4661 logs object access attempts. Examples:

- Attribute Access: e.g., `userPassword`, `memberOf`, `securityDescriptor`.
- Group Enumeration: Enumerating critical group members (e.g., Domain Admins).
- User Attributes: Commonly accessed attributes like `samAccountName`, `lastLogonTimestamp`.
- Policy Access: Accessing GPOs to understand security settings.

*Data Collection Measures:*

- Audit Policies:
    - Enable ""Audit Directory Service Access"" under Advanced Audit Policies (Success and Failure).
    - Path: `Computer Configuration > Policies > Windows Settings > Security Settings > Advanced Audit Policy Configuration > Audit Policies > Object AccessEnable: Audit Directory Service Access` (Success and Failure).
    - Captured Events: IDs 4661, 4662.
- Event Forwarding: Use WEF to centralize logs for SIEM analysis.
- SIEM Integration: Collect and parse logs (e.g., 4661, 4662) using tools like Splunk or Azure Sentinel.
- Log Filtering:
- Focus on sensitive objects/attributes like:
    - `Domain Admins` group.
    - `userPassword`, `ntSecurityDescriptor`.
- Enable EDR Monitoring:
    - Detect processes accessing sensitive AD objects (e.g., samAccountName, securityDescriptor).
    - Log all attempts to enumerate critical groups (e.g., ""Domain Admins"").",,,20 October 2021,,datacomponent,1.1,,
Active Directory: Active Directory Object Creation,,x-mitre-data-component--18b236d8-7224-488f-9d2f-50076a0f653a,"Creating new objects in AD, such as user accounts, groups, organizational units (OUs), or trust relationships. Logged as Event ID 5137. Examples:

- User Account Creation: New user account.
- Group Creation: New security/distribution group.
- OU Creation: New organizational unit.
- Service Account Creation: New service account for automation or malicious tasks.
- Trust Object Creation: Trust relationship with another domain.

*Data Collection Measures:*

- Audit Policy:
    - Enable ""Audit Directory Service Changes"" (Success and Failure).
    - Path: `Computer Configuration > Policies > Windows Settings > Security Settings > Advanced Audit Policy Configuration > Audit Policies > Directory Service Changes`.
    - Key Event: Event ID 5137 (object creation).
- Log Forwarding: Use WEF to centralize logs for SIEM tools (e.g., Splunk).
- Enable EDR Monitoring:
    - Track processes that create new accounts or modify AD objects.
    - Correlate object creation with suspicious commands (e.g., net user /add).",,,20 October 2021,,datacomponent,1.1,,
Active Directory: Active Directory Object Deletion,,x-mitre-data-component--9085a576-636a-455b-91d2-c2921bbe6d1d,"Object deletion in AD (e.g., user accounts, groups, OUs) is logged as Event ID 5141. Examples:

- User Account: Deleted user.
- Group: Deleted security/distribution group.
- Organizational Unit (OU): Loss of configurations or policies.
- Service Account: Disrupted operations or cover tracks.
- Trust Object: Removed domain trust, disrupting connectivity.

*Data Collection Measures:*

- Audit Policy:
    - Enable ""Audit Directory Service Changes"" (Success and Failure).
    - Path: `Computer Configuration > Policies > Windows Settings > Security Settings > Advanced Audit Policy Configuration > Audit Policies > Directory Service Changes`.
    - Key Event: Event ID 5141.
- Log Forwarding: Use WEF to centralize logs for SIEM tools (e.g., Splunk).
- Enable EDR Monitoring:
    - Detect processes or users that initiate unauthorized object deletions.
    - Monitor tools and scripts that may delete key directory objects.",,,20 October 2021,,datacomponent,1.1,,
Active Directory: Active Directory Object Modification,,x-mitre-data-component--5b8b466b-2c81-4fe7-946f-d677a74ae3db,"Changes to AD objects (e.g., users, groups, OUs) are logged as Event ID 5136 (Object Modification) or 5163 (Attribute Changes). Examples:

- User Account: Modifying attributes (e.g., group membership, enabling/disabling accounts).
- Group Membership: Adding/removing members.
- OU: Changing properties/permissions (e.g., delegation).
- Service Account: Modifying SPNs or other attributes.
- Object Attributes: Changes to passwords, logon hours, or control flags.

*Data Collection Measures:*

- Audit Policy:
    - Enable ""Audit Directory Service Changes"" (Success and Failure).
    - Path: `Computer Configuration > Policies > Windows Settings > Security Settings > Advanced Audit Policy Configuration > Audit Policies > Directory Service Changes`.
    - Key Events: 5136 (modifications), 5163 (attribute changes).
- Log Forwarding:
    - Use WEF to centralize logs for SIEM.
    - Parse logs to extract: Object Name, Attribute Changed, Initiator Account Name.
- Enable EDR Monitoring:
    - Detect changes to critical attributes (e.g., memberOf, logonHours).
    - Track processes modifying directory service objects (e.g., Set-ADUser or dsmod).
- Enable EDR Monitoring:
    - Detect changes to critical attributes (e.g., memberOf, logonHours).
    - Track processes modifying directory service objects (e.g., Set-ADUser or dsmod).",,,20 October 2021,,datacomponent,1.1,,
Application Log,DS0015,x-mitre-data-source--40269753-26bd-437b-986e-159c66dec5e4,"Events collected by third-party services such as mail servers, web applications, or other appliances (not by the native OS or platform)(Citation: Confluence Logs)","Cloud Control Plane, Host","ESXi, IaaS, Linux, Office Suite, SaaS, Windows, macOS",20 October 2021,,datasource,1.1,https://attack.mitre.org/datasources/DS0015,
Application Log: Application Log Content,,x-mitre-data-component--9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa,"Application Log Content refers to logs generated by applications or services, providing a record of their activity. These logs may include metrics, errors, performance data, and operational alerts from web, mail, or other applications. These logs are vital for monitoring application behavior and detecting malicious activities or anomalies. Examples: 

- Web Application Logs: These logs include information about requests, responses, errors, and security events (e.g., unauthorized access attempts).
- Email Application Logs: Logs contain metadata about emails sent, received, or blocked (e.g., sender/receiver addresses, message IDs).
- SaaS Application Logs: Activity logs include user logins, configuration changes, and access to sensitive resources.
- Cloud Application Logs: Logs detail control plane activities, including API calls, instance modifications, and network changes.
- System/Application Monitoring Logs: Logs provide insights into application performance, errors, and anomalies.

This data component can be collected through the following measures:

Configure Application Logging

- Enable logging within the application or service.
- Examples:
    - Web Servers: Enable access and error logs in NGINX or Apache.
    - Email Systems: Enable audit logging in Microsoft Exchange or Gmail.

Centralized Log Management

- Use log management solutions like Splunk, or a cloud-native logging solution.
- Configure the application to send logs to a centralized system for analysis.

Cloud-Specific Collection

- Use services like AWS CloudWatch, Azure Monitor, or Google Cloud Operations Suite for cloud-based applications.
- Ensure logging is enabled for all critical resources (e.g., API calls, IAM changes).

SIEM Integration

- Integrate application logs with a SIEM platform (e.g., Splunk, QRadar) for real-time correlation and analysis.
- Use parsers to standardize log formats and extract key fields like timestamps, user IDs, and error codes.",,,20 October 2021,,datacomponent,1.1,,
Certificate,DS0037,x-mitre-data-source--29aa4e0e-4a26-4f79-a9bc-1ae66df1c923,"A digital document, which highlights information such as the owner's identity, used to instill trust in public keys used while encrypting network communications",OSINT,PRE,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0037,
Certificate: Certificate Registration,,x-mitre-data-component--1dad5aa4-4bb5-45e4-9e42-55d40003cfa6,"Certificate Registration refers to the collection and analysis of information about digital certificates, including current, revoked, and expired certificates. Sources such as Certificate Transparency logs and other public resources provide visibility into certificates issued for specific domains or organizations. Monitoring certificate registrations can help identify potential misuse, such as unauthorized certificates or signs of adversary reconnaissance. Examples: 

- Certificate Transparency Logs: These logs record the issuance of SSL/TLS certificates by trusted Certificate Authorities (CAs).
- Revoked Certificates: Information about certificates that have been invalidated before their expiration date.
- Expired Certificates: Reports of expired certificates for a domain, which may indicate lax security practices or opportunities for adversaries to exploit expired credentials.
- Domain Monitoring for Certificates: Maps SSL/TLS certificates to domains and subdomains, helping to identify any rogue certificates.
- Public Certificate Directories: Services providing APIs to query issued certificates for analysis.

This data component can be collected through the following measures:

Use Certificate Transparency Monitors

- Tools like crt.sh, CertStream, or APIs provided by certificate authorities (CAs) allow you to monitor issued certificates in real-time.
- Example: Use CertStream to stream certificate issuance logs and filter for domains of interest.

Analyze Certificate Revocation Sources

- Monitor CRLs or query OCSP responders to detect revoked certificates.
- Configure tools like OpenSSL or browsers to validate certificate revocation status automatically.

Leverage Public Scanning Tools

- Use tools such as SSL Labs, Censys, or Shodan to scan for certificate details related to your domain or network.

Automate Certificate Monitoring

- Set up automated scripts or services to parse Certificate Transparency logs for anomalies.
- Example: Automate searches on crt.sh to identify certificates issued for typo-squatted domains.

Integrate with Threat Intelligence

- Enrich certificate data with threat intelligence feeds to detect connections to known adversary-controlled infrastructure.
- Tools like VirusTotal can identify malicious certificates based on associated indicators.",,,20 October 2021,,datacomponent,1.1,,
